timestamp,name,hashrate_1m,hashrate_24h,power,efficiency,temp,chipTemp,sharesAccepted,sharesRejected,alive
2025-12-09T07:18:33.478761+00:00,nerdoct1,8.09817,3.06092,141.75,17.50396,60,0,987,1,True
2025-12-09T07:18:33.478761+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:33.478761+00:00,G,6.53772,0.0,142.3814697265625,21.77847,30,44.25,1298,1,True
2025-12-09T07:18:38.712494+00:00,A,7.05891,0.0,154.2464599609375,21.85131,39,58.125,4735,8,True
2025-12-09T07:18:38.712494+00:00,B,7.15266,0.0,152.470947265625,21.31668,38,53.1875,5994,9,True
2025-12-09T07:18:38.712494+00:00,C,7.28605,0.0,147.8360595703125,20.29029,37,52.9375,6951,9,True
2025-12-09T07:18:38.712494+00:00,D,6.37303,0.0,147.556640625,23.15331,35,61.625,4405,14,True
2025-12-09T07:18:38.712494+00:00,E,6.94495,0.0,146.2406005859375,21.0571,34,54,2349,7,True
2025-12-09T07:18:38.712494+00:00,F,6.55749,0.0,146.5213623046875,22.34411,32,48.1875,991,6,True
2025-12-09T07:18:38.712494+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:38.712494+00:00,nerdoct1,8.88089,3.06153,140.75,15.84863,60.0625,0,987,1,True
2025-12-09T07:18:38.712494+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:38.712494+00:00,G,6.99015,0.0,142.3685302734375,20.36702,30,44.375,1298,1,True
2025-12-09T07:18:43.716042+00:00,A,6.70471,0.0,154.3243408203125,23.0173,39,58.3125,4736,8,True
2025-12-09T07:18:43.716042+00:00,B,6.65818,0.0,152.324951171875,22.87787,38,53.125,5994,9,True
2025-12-09T07:18:43.716042+00:00,C,7.74352,0.0,147.6806640625,19.07151,37,52.875,6952,9,True
2025-12-09T07:18:43.716042+00:00,D,6.97033,0.0,147.6346435546875,21.18042,35,61.5625,4405,14,True
2025-12-09T07:18:43.716042+00:00,E,6.9419,0.0,146.2406005859375,21.06635,34,53.8125,2349,7,True
2025-12-09T07:18:43.716042+00:00,F,7.35575,0.0,146.6773681640625,19.94049,32,48.4375,991,6,True
2025-12-09T07:18:43.716042+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:43.716042+00:00,nerdoct1,8.56345,3.06214,141.25,16.49452,60.0625,0,987,1,True
2025-12-09T07:18:43.716042+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:43.716042+00:00,G,7.11464,0.0,142.26580810546875,19.99619,30,44.1875,1298,1,True
2025-12-09T07:18:48.722167+00:00,A,6.60216,0.0,154.3226318359375,23.37456,39,58,4736,8,True
2025-12-09T07:18:48.722167+00:00,B,6.50432,0.0,152.2470703125,23.40708,38,53.125,5995,9,True
2025-12-09T07:18:48.722167+00:00,C,7.39265,0.0,147.6806640625,19.97669,37,53,6952,9,True
2025-12-09T07:18:48.722167+00:00,D,6.57543,0.0,147.480712890625,22.42906,35,61.5,4405,14,True
2025-12-09T07:18:48.722167+00:00,E,7.51424,0.0,146.2744140625,19.46629,34,53.8125,2349,7,True
2025-12-09T07:18:48.722167+00:00,F,8.17964,0.0,146.6639404296875,17.93036,32,48.4375,992,6,True
2025-12-09T07:18:48.722167+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:48.722167+00:00,nerdoct1,9.24339,3.06275,141,15.25415,60,0,987,1,True
2025-12-09T07:18:48.722167+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:48.722167+00:00,G,7.83826,0.0,142.2806396484375,18.15206,30,44.1875,1298,1,True
2025-12-09T07:18:53.734520+00:00,A,6.70845,0.0,154.3946533203125,23.01496,39,58.125,4736,8,True
2025-12-09T07:18:53.734520+00:00,B,7.15637,0.0,152.324951171875,21.28524,38,53,5995,9,True
2025-12-09T07:18:53.734520+00:00,C,6.78885,0.0,147.746826171875,21.76317,37,52.9375,6952,9,True
2025-12-09T07:18:53.734520+00:00,D,6.20037,0.0,147.48046875,23.78576,35,61.25,4406,14,True
2025-12-09T07:18:53.734520+00:00,E,7.92002,0.0,146.1627197265625,18.45484,34,53.8125,2349,7,True
2025-12-09T07:18:53.734520+00:00,F,8.6891,0.0,146.59521484375,16.87117,32,48.4375,992,6,True
2025-12-09T07:18:53.734520+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:53.734520+00:00,nerdoct1,9.59304,3.06357,141.25,14.72421,60,0,987,1,True
2025-12-09T07:18:53.734520+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:53.734520+00:00,G,8.64664,0.0,142.3814697265625,16.46669,30,44.25,1298,1,True
2025-12-09T07:18:58.696955+00:00,A,7.01825,0.0,154.324462890625,21.98903,39,58.125,4737,8,True
2025-12-09T07:18:58.696955+00:00,B,7.49102,0.0,152.39306640625,20.34344,38,53.1875,5996,9,True
2025-12-09T07:18:58.696955+00:00,C,6.26307,0.0,147.8359375,23.60439,37,52.875,6955,9,True
2025-12-09T07:18:58.696955+00:00,D,6.13401,0.0,147.47900390625,24.04283,35,61.6875,4406,14,True
2025-12-09T07:18:58.696955+00:00,E,8.24878,0.0,146.1322021484375,17.71562,34,53.9375,2349,7,True
2025-12-09T07:18:58.696955+00:00,F,7.45646,0.0,146.599365234375,19.66073,32,48.25,992,6,True
2025-12-09T07:18:58.696955+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:58.696955+00:00,nerdoct1,9.34489,3.06397,141,15.08845,60,0,987,1,True
2025-12-09T07:18:58.696955+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:58.696955+00:00,G,7.72592,0.0,142.319580078125,18.42105,30,44.3125,1298,1,True
2025-12-09T07:19:03.832135+00:00,A,6.5826,0.0,154.4783935546875,23.4677,39,58.125,4737,8,True
2025-12-09T07:19:03.832135+00:00,B,7.63729,0.0,152.3931884765625,19.95383,38,53.3125,5996,9,True
2025-12-09T07:19:03.832135+00:00,C,7.07132,0.0,147.6805419921875,20.88444,37,52.9375,6955,9,True
2025-12-09T07:19:03.832135+00:00,D,5.92168,0.0,147.4144287109375,24.89403,35,61.3125,4406,14,True
2025-12-09T07:19:03.832135+00:00,E,8.68193,0.0,146.1319580078125,16.83174,34,53.875,2349,7,True
2025-12-09T07:19:03.832135+00:00,F,7.05355,0.0,146.599365234375,20.78377,32,48.4375,992,6,True
2025-12-09T07:19:03.832135+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:19:03.832135+00:00,nerdoct1,9.53565,3.06479,140.75,14.7604,60,0,987,1,True
2025-12-09T07:19:03.832135+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:19:03.832135+00:00,G,7.04597,0.0,142.35650634765625,20.20395,30,44.25,1298,1,True
2025-12-09T07:19:08.815558+00:00,A,6.79091,0.0,154.2464599609375,22.71367,39,58.125,4737,8,True
2025-12-09T07:19:08.815558+00:00,B,6.91891,0.0,152.40283203125,22.02701,38,53.3125,5997,9,True
2025-12-09T07:19:08.815558+00:00,C,8.23754,0.0,147.6029052734375,17.91832,37,52.8125,6955,9,True
2025-12-09T07:19:08.815558+00:00,D,6.36135,0.0,147.556640625,23.19579,35,61.375,4406,14,True
2025-12-09T07:19:08.815558+00:00,E,8.22904,0.0,146.2406005859375,17.77128,34,53.8125,2349,7,True
2025-12-09T07:19:08.815558+00:00,F,6.6573,0.0,146.521484375,22.00914,32,48.4375,992,6,True
2025-12-09T07:19:08.815558+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:19:08.815558+00:00,nerdoct1,9.66014,3.06499,140.75,14.57018,60,0,987,1,True
2025-12-09T07:19:08.815558+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:19:08.815558+00:00,G,6.74741,0.0,142.49810791015625,21.11892,30,44.1875,1298,1,True
2025-12-09T07:19:14.093440+00:00,A,7.18614,0.0,154.3243408203125,21.47527,39,58.1875,4737,8,True
2025-12-09T07:19:14.093440+00:00,B,6.57998,0.0,152.470947265625,23.17194,38,53.0625,6000,9,True
